"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"78","Historic_Sites_View.fid-e93e948_15090ed509b_-1940","St. Luke Methodist Episco","350 River Rd","Sykesville","POINT (1321455.5699999998 616976.01)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-756.pdf"" TARGET=""NEW"">Click Here </a>",756,4,16,12,0,"St. Luke Methodist Episcopal Church","","2001","",NA,NA,NA
"79","Historic_Sites_View.fid-e93e948_15090ed509b_-1941","SHA Apartments","351 West Friendship Rd","","POINT (1321339.98 617326.605)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-755.pdf"" TARGET=""NEW"">Click Here </a>",755,4,15,113,0,"SHA Apartments","","2001","",NA,NA,NA
"80","Historic_Sites_View.fid-e93e948_15090ed509b_-1942","Abandoned Farm Complex (o","Long Corner Rd","","POINT (1269714.0599999998 598219.1699999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-745.pdf"" TARGET=""NEW"">Click Here </a>",745,12,24,8,0,"Abandoned Farm Complex (off Long Corner Rd)","","1998","",NA,NA,NA
"81","Historic_Sites_View.fid-e93e948_15090ed509b_-1943","Anderson Farm","Long Corner Rd","","POINT (1267746.27 598536.105)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-744.pdf"" TARGET=""NEW"">Click Here </a>",744,12,24,6,0,"Anderson Farm","","1997","",NA,NA,NA
"82","Historic_Sites_View.fid-e93e948_15090ed509b_-1944","Foundations (off Annapoli","Annapolis Rock Rd","","POINT (1279316.76 587654.25)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-743.pdf"" TARGET=""NEW"">Click Here </a>",743,20,1,2,0,"Foundations (off Annapolis Rock Rd)","","1996","",NA,NA,NA
"83","Historic_Sites_View.fid-e93e948_15090ed509b_-1945","Hockley Forge and Mill","","32","POINT (1393465.68 566368.86)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-740.pdf"" TARGET=""NEW"">Click Here </a>",740,32,22,44,0,"Hockley Forge and Mill","","1998","",NA,NA,NA
"84","Historic_Sites_View.fid-e93e948_15090ed509b_-1946","Unnamed","10600 Shaker Dr","Columbia","POINT (1350305.0399999998 555903.615)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-723.pdf"" TARGET=""NEW"">Click Here </a>",723,36,13,54,0,"Unnamed","","1997","now owned by Christ Memorial Presbyterian inc.",NA,NA,NA
"85","Historic_Sites_View.fid-e93e948_15090ed509b_-1947","Unnamed","10560 Shaker Dr","Columbia","POINT (1350090.51 555529.9049999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-722.pdf"" TARGET=""NEW"">Click Here </a>",722,36,19,252,0,"Unnamed","","1997","",NA,NA,NA
"86","Historic_Sites_View.fid-e93e948_15090ed509b_-1948","Whetzel Farm","11425 Scaggsville Rd","Fulton","POINT (1338556.26 538653.855)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-720.pdf"" TARGET=""NEW"">Click Here </a>",720,46,3,337,0,"Whetzel Farm","","1997","",NA,NA,NA
"87","Historic_Sites_View.fid-e93e948_15090ed509b_-1949","Unnamed","11268 Scaggsville Rd","Laurel","POINT (1339783.89 538934.22)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-718.pdf"" TARGET=""NEW"">Click Here </a>",718,46,4,176,0,"Unnamed","","1997","",NA,NA,NA
