FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1c18,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-290.pdf"" TARGET=""NEW"">Click Here </a>",290,St Michaels R C Church,1200 St Michaels Rd,7,8,39,0,St. Michael's Roman Catholic Church,,Poplar Springs,2002,,POINT (1281952.17 608647.23)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c17,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-291.pdf"" TARGET=""NEW"">Click Here </a>",291,Oakley Farm,15802 Rt 144,8,6,5,0,Oakley Farm,,Lisbon,1980,,POINT (1295131.7999999998 608254.5449999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c16,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-292.pdf"" TARGET=""NEW"">Click Here </a>",292,Joshua Disney Shop,Rt 216,40,4,77,0,Joshua Disney Wheelwright Shop,,Highland,1981,,POINT (1324454.88 550814.82)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c15,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-293.pdf"" TARGET=""NEW"">Click Here </a>",293,King's Contrivance,10150 Shaker Dr,42,1,267,0,King's Contrivance,,Columbia,1980,MacGill's Common; restaurant,POINT (1350885.99 551396.8049999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c14,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-294.pdf"" TARGET=""NEW"">Click Here </a>",294,Wilson Place,4152 Roxbury Mill Rd,21,19,51,0,Wilson Place at Roxbury Mill,,Glenwood,1980,,POINT (1297159.3199999998 579162.495)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c13,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-295.pdf"" TARGET=""NEW"">Click Here </a>",295,Woodcamp Farm,17591 Hardy Rd,7,1,485,3,Woodcamp Farm,,Mt. Airy,1980,"Not located; (Mt. Airy) Woodcamp Farm Subdivision, Lot 21 or 23",POINT (1278419.0399999998 609965.01)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c12,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-296.pdf"" TARGET=""NEW"">Click Here </a>",296,Earl Hough House,1025 Hardy Rd,7,1,390,0,Earl Hough Farmhouse,,Mt. Airy,1980,"Woodcamp Farm Subdivision, Lot 23. Vacant",POINT (1277370.48 611701.89)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c11,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-297.pdf"" TARGET=""NEW"">Click Here </a>",297,Rose Hill,885 Rt 97,8,5,38,0,Rose Hill,,Cooksville,1980,,POINT (1309220.94 610955.1749999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c10,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-298.pdf"" TARGET=""NEW"">Click Here </a>",298,St Peters Church,3701 College Ave,25,14,120,0,St. Peter's Parish House,,Ellicott City,1981,,POINT (1370298.42 582687.48)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c0f,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-300.pdf"" TARGET=""NEW"">Click Here </a>",300,Broxton,3829 Columbia Pike,25,13,39,0,Broxton,,Ellicott City,1978,Vacant; being renovated,POINT (1368781.0499999998 582261.945)
